run,tag,step,value,wall_time
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1835008,8877.7998046875,1767088344.7329657
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1851392,8805.58984375,1767088392.3273172
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1867776,8804.6201171875,1767088438.2893863
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1884160,8819.2900390625,1767088487.3611133
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1900544,8864.51953125,1767088535.4306078
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1916928,8827.5302734375,1767088579.2713232
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1933312,8765.7900390625,1767088625.7935965
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1949696,8713.0703125,1767088669.7896328
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1966080,8606.6904296875,1767088715.3976707
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1982464,8542.6396484375,1767088760.5404596
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,1998848,8398.4697265625,1767088807.1154962
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2015232,8253.490234375,1767088889.8550367
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2031616,8276.330078125,1767088982.5443878
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2048000,8287.0595703125,1767089049.869431
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2064384,8313.98046875,1767089113.1979978
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2080768,8248.76953125,1767089184.2990854
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2097152,8245.3203125,1767089252.5431623
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2113536,8268.3798828125,1767089324.7820954
